,lon,lat
240,-71.0588801,42.3600825
241,-77.1945247,41.2033216
242,-93.2922989,37.2089572
243,-85.7584557,38.2526647
245,-77.0368707,38.9071923
247,-120.7401385,47.7510741
248,-119.4179324,36.778261
249,-72.9254428,41.3535161
250,-84.5037164,38.0405837
251,-73.9441579,40.6781784
252,-81.5157535,27.6648274
253,-91.7857092,43.3033056
254,-71.0994968,42.3875968
255,-87.9064736,43.0389025
256,-74.0059728,40.7127753
257,-74.0059728,40.7127753
258,-89.4012302,43.0730517
259,-77.4291298,39.0066993
260,-66.9036063,10.4805937
262,-84.3879824,33.7489954
263,-77.0947092,38.984652
264,-120.5542012,43.8041334
265,-95.9979883,41.2523634
266,-87.6297982,41.8781136
267,-105.2551187,54.5259614
268,-79.2317521,43.7764258
270,-81.6943605,41.49932
273,-106.346771,56.130366
274,-88.8853078,30.3960318
275,-75.5276699,38.9108325
276,-102.552784,23.634501
277,-87.6297982,41.8781136
280,-79.0192997,35.7595731
281,-90.0489801,35.1495343
284,-91.2395807,43.8013556
285,-106.6055534,35.0853336
286,-81.5157535,27.6648274
287,-73.567256,45.5016889
288,-79.508276,43.8372079
289,-71.5215024,41.7036711
290,-88.7878678,43.7844397
292,-83.0457538,42.331427
293,-94.5785667,39.0997265
294,-75.6971931,45.4215296
295,-81.1637245,33.836081
300,-87.7539448,41.8455877
301,-122.4014193,37.4337342
302,-95.712891,37.09024
303,-116.419389,38.8026097
304,-86.7816016,36.1626638
305,-93.2009998,44.9374831
306,-89.3985283,40.6331249
307,-76.6121893,39.2903848
309,-81.5157535,27.6648274
311,-78.9429329,43.8975446
312,-120.8958242,38.8375215
313,-85.0144124,41.0706042
314,-104.8319195,39.7294319
315,-95.9979883,41.2523634
316,-95.9979883,41.2523634
317,-74.0059728,40.7127753
318,-86.5804473,35.5174913
321,10.451526,51.165691
322,-73.9441579,40.6781784
323,-73.087749,41.6032207
324,-95.712891,37.09024
325,-104.8213634,38.8338816
326,-81.5190053,41.0814447
327,-99.9018131,31.9685988
328,-122.2913078,37.8271784
330,-83.6513229,41.3747744
331,-95.712891,37.09024
332,-88.0797933,41.9847504
333,-73.93958,40.803874
334,-119.4179324,36.778261
335,-88.7878678,43.7844397
336,-5.2841177,35.6196262
338,-74.4056612,40.0583238
339,-79.366393,46.222198
340,-79.3831843,43.653226
341,-73.7948516,40.7282239
342,-84.4277001,33.6407282
343,-73.8648268,40.8447819
344,-74.1143091,40.6687141
345,-77.1945247,41.2033216
346,-99.9018131,31.9685988
347,-87.9064736,43.0389025
348,-83.9185323,37.8592479
350,-87.6297982,41.8781136
352,-85.3096801,35.0456297
