"Year","Week","PIPercent","Expected","Threshold","All Deaths","Pneumonia Deaths","Influenza Deaths"
2015,41,6.2921933532,6.23975,6.57015,49919,3134,7
2015,42,6.3755217768,6.32712,6.6573,50788,3222,16
2015,43,6.3149528068,6.42038,6.75033,50325,3161,17
2015,44,6.5971950168,6.51811,6.84784,51052,3348,20
2015,45,6.3959230435,6.61883,6.94833,50626,3224,14
2015,46,6.5012963895,6.721,7.05028,51682,3347,13
2015,47,6.5052684884,6.8231,7.15214,51343,3326,14
2015,48,6.691593108,6.92357,7.25239,51886,3450,22
2015,49,6.6187587494,7.02091,7.3495,53575,3526,20
2015,50,6.7175924149,7.11364,7.442,52102,3474,26
2015,51,6.6821275713,7.20036,7.52849,53037,3529,15
2015,52,7.5213479719,7.27977,7.60767,52464,3915,31
2016,1,7.6586981825,7.35066,7.67834,55845,4245,32
2016,2,7.7604044839,7.41195,7.7394,55577,4283,30
2016,3,7.3960049983,7.46272,7.78993,55219,4048,36
2016,4,7.4843253148,7.50216,7.82915,55663,4116,50
2016,5,7.5214016251,7.52967,7.85643,55136,4086,61
2016,6,7.3624610058,7.5448,7.87132,55457,3990,93
2016,7,7.4775672981,7.54728,7.87357,56168,4051,149
2016,8,8.0037681842,7.53704,7.8631,55199,4231,187
2016,9,8.0595840561,7.51416,7.83999,55921,4250,257
2016,10,8.1485962353,7.47895,7.80454,56206,4286,294
2016,11,8.2534855175,7.43185,7.75722,54583,4154,351
2016,12,8.1904101591,7.37352,7.69865,54808,4194,295
2016,13,7.7460741235,7.30473,7.62963,53937,3896,282
2016,14,7.758748243,7.22644,7.55111,54068,3945,250
2016,15,7.6403948254,7.13974,7.46417,53492,3891,196
2016,16,7.209512342,7.04581,7.37001,53152,3684,148
2016,17,6.9081074725,6.94598,7.26993,51027,3398,127
2016,18,6.8128181623,6.84162,7.16534,51271,3402,91
2016,19,6.4980392157,6.73419,7.05767,51000,3240,74
2016,20,6.5863517476,6.62518,6.94843,50468,3290,34
2016,21,6.3932185934,6.51611,6.83912,50491,3198,30
2016,22,6.1192468619,6.40849,6.73127,49712,3025,17
2016,23,6.394615061,6.30381,6.62635,49917,3175,17
2016,24,5.8865958726,6.20352,6.52583,49910,2920,18
2016,25,5.817866715,6.109,6.43106,49623,2875,12
2016,26,5.8777413713,6.02154,6.34336,49747,2914,10
2016,27,5.8832997988,5.94232,6.26391,49700,2914,10
2016,28,5.9068839777,5.87243,6.19378,49637,2926,6
2016,29,5.6252282966,5.81279,6.1339,49278,2767,5
2016,30,5.6520251917,5.76417,6.08505,49699,2804,5
2016,31,5.754857997,5.72722,6.04785,49506,2847,2
2016,32,5.687346709,5.70236,6.02276,49742,2827,2
2016,33,5.7637871153,5.68989,6.01004,49811,2866,5
2016,34,5.7217296468,5.68989,6.0098,49513,2827,6
2016,35,5.7964583922,5.70228,6.02195,49582,2869,5
2016,36,5.762434359,5.72679,6.04623,50083,2881,5
2016,37,6.2114413909,5.76299,6.08219,49924,3093,8
2016,38,6.0658300926,5.81027,6.12922,49886,3017,9
2016,39,5.9611213912,5.86785,6.18656,50259,2985,11
2016,40,5.9139366586,5.93482,6.25329,51404,3022,18
2016,41,6.146173029,6.01014,6.32836,52130,3193,11
2016,42,6.1913185467,6.09262,6.41061,51443,3178,7
2016,43,6.065747614,6.181,6.49875,51865,3129,17
2016,44,6.0209070006,6.27393,6.59143,51753,3100,16
2016,45,6.1418701585,6.36997,6.68723,52541,3208,19
2016,46,5.9839132061,6.46768,6.7847,53460,3192,7
2016,47,6.1678234863,6.56556,6.88234,53163,3257,22
2016,48,6.4998809546,6.66213,6.97866,54601,3515,34
2016,49,6.6165004533,6.75593,7.07222,55150,3616,33
2016,50,6.8318988608,6.84554,7.16158,56002,3780,46
2016,51,6.7508019882,6.92959,7.24539,56734,3738,92
2016,52,7.3972507637,7.00681,7.32237,57616,4105,157
2017,1,8.1015921914,7.07603,7.39134,59729,4550,289
2017,2,7.9749265683,7.13618,7.45125,60941,4492,368
2017,3,8.4123822705,7.18635,7.50118,59246,4610,374
2017,4,8.2451119004,7.22576,7.54034,57998,4415,367
2017,5,8.2179575051,7.25377,7.56811,58360,4445,351
2017,6,8.2420377845,7.26995,7.58404,58966,4441,419
2017,7,8.4723411543,7.27399,7.58784,58390,4404,543
2017,8,8.5176915149,7.2658,7.5794,58220,4353,606
2017,9,8.3559604099,7.24544,7.5588,57085,4235,535
2017,10,8.1688020724,7.21317,7.52628,57132,4198,469
2017,11,7.893898077,7.16938,7.48225,56474,4082,376
2017,12,7.7244993054,7.11468,7.4273,56871,4074,319
2017,13,7.5700445615,7.0498,7.36218,55429,3868,328
2017,14,7.3837855568,6.97563,7.28776,54877,3788,264
2017,15,7.2452127562,6.89318,7.20506,54781,3761,208
2017,16,6.8640214336,6.8036,7.11523,53001,3475,163
2017,17,6.6442372754,6.70811,7.01951,53204,3448,87
2017,18,6.3929719143,6.60806,6.91921,52589,3299,63
2017,19,6.2640811846,6.50482,6.81572,51931,3204,49
2017,20,6.1945382722,6.39982,6.71048,52401,3193,53
2017,21,6.101921339,6.29452,6.60493,50902,3082,24
2017,22,5.9230859513,6.19037,6.50053,51122,3004,24
2017,23,6.1006400094,6.08882,6.39873,51093,3099,18
2017,24,6.0910692023,5.99124,6.30091,50533,3059,19
2017,25,5.8412586592,5.899,6.20842,51102,2970,15
2017,26,5.8439244566,5.81333,6.12251,50514,2942,10
2017,27,5.5709594321,5.73541,6.04434,50853,2817,16
2017,28,6.0748319791,5.66628,5.97496,49845,3024,4
2017,29,5.4892553723,5.60685,5.91528,50025,2736,10
2017,30,5.7629738084,5.5579,5.86609,49176,2831,3
2017,31,5.3618658331,5.52006,5.82801,49908,2672,4
2017,32,5.4093975807,5.49379,5.80149,50098,2705,5
2017,33,5.3508894803,5.47937,5.78682,49973,2663,11
2017,34,5.5652562332,5.47694,5.78414,49252,2734,7
2017,35,5.327025101,5.48643,5.79338,50516,2684,7
2017,36,5.5461256069,5.50762,5.81433,50666,2798,12
2017,37,5.8254509995,5.54011,5.84658,51275,2980,7
2017,38,5.7283045637,5.58336,5.88958,50748,2892,15
2017,39,5.6521996099,5.63664,5.94261,50759,2850,19
2017,40,5.7742526406,5.7037,6.00967,51314,2947,16
2017,41,5.8106934134,5.77907,6.08504,50648,2926,17
2017,42,6.0306154573,5.86166,6.16763,50824,3039,26
2017,43,6.2412521931,5.95029,6.25626,50727,3144,22
2017,44,6.0473524609,6.04367,6.34964,51444,3075,36
2017,45,6.0289500188,6.14046,6.44643,50639,3009,44
2017,46,6.2464262476,6.23926,6.54523,50717,3121,47
2017,47,5.95012252,6.33864,6.64461,50604,2964,47
2017,48,6.4830399398,6.43716,6.74313,50501,3196,78
2017,49,6.5070213151,6.53341,6.83938,49777,3131,108
2017,50,6.7700848475,6.62599,6.93196,50797,3295,144
2017,51,7.2408506624,6.71356,7.01954,50878,3366,318
2017,52,8.1772334294,6.79487,7.10085,49968,3527,559
2018,1,9.1688182075,6.86874,7.17471,46091,3399,827
2018,2,9.6981198032,6.9341,7.24007,40049,3032,852
