,x
534,NA
535,tennessee
536,district of columbia
537,new york
538,maryland
539,oklahoma
540,new york
541,missouri
542,NA
543,california
544,indiana
545,pennsylvania
546,minnesota
547,florida
548,pennsylvania
549,NA
550,georgia
551,colorado
552,pennsylvania
553,NA
554,california
555,connecticut
556,pennsylvania
557,texas
558,district of columbia
559,missouri
560,NA
561,texas
562,california
563,NA
564,NA
565,NA
566,north carolina
567,NA
568,california
569,california
570,pennsylvania
571,wisconsin
572,NA
573,north carolina
574,kansas
575,minnesota
576,NA
577,maryland
578,NA
579,pennsylvania
580,kansas
581,wisconsin
582,illinois
583,NA
584,utah
585,NA
586,kentucky
587,new jersey
588,north carolina
589,NA
590,nevada
591,louisiana
592,NA
593,kansas
594,kansas
595,NA
596,oklahoma
597,ohio
598,illinois
599,connecticut
600,NA
601,NA
602,texas
603,virginia
604,colorado
605,pennsylvania
606,kansas
607,new jersey
608,virginia
609,texas
610,texas
611,NA
612,NA
613,michigan
614,NA
615,colorado
616,NA
617,new york
618,kansas
619,new york
620,georgia
621,texas
622,maryland
623,NA
624,new york
625,oregon
626,NA
627,district of columbia
628,kansas
629,NA
630,georgia
631,NA
632,new jersey
633,texas
634,north carolina
635,new york
636,new jersey
637,indiana
638,kentucky
639,missouri
640,NA
641,NA
642,west virginia
643,NA
644,new york
645,texas
646,texas
647,georgia
648,NA
649,ohio
650,kansas
651,NA
652,ohio
653,texas
654,NA
655,alabama
656,new jersey
657,minnesota
658,NA
659,texas
660,kansas
661,NA
662,NA
663,NA
664,maryland
665,georgia
666,ohio
667,north carolina
668,south carolina
669,michigan
670,pennsylvania
671,massachusetts
672,north carolina
673,mississippi
674,NA
675,north carolina
676,district of columbia
677,pennsylvania
678,NA
679,NA
680,pennsylvania
681,kansas
682,NA
683,texas
684,NA
685,NA
686,texas
687,indiana
688,pennsylvania
689,district of columbia
690,NA
691,NA
692,kansas
693,colorado
694,district of columbia
695,NA
696,georgia
697,NA
698,illinois
699,kansas
700,NA
701,new york
702,texas
703,NA
704,new hampshire
705,california
706,new york
707,michigan
708,alabama
709,pennsylvania
710,NA
711,maryland
712,NA
713,arkansas
714,NA
715,maryland
716,florida
717,california
718,pennsylvania
719,montana
720,georgia
721,NA
722,NA
723,kansas
724,kentucky
725,NA
726,ohio
727,NA
728,virginia
729,michigan
730,georgia
731,illinois
732,pennsylvania
733,georgia
734,tennessee
735,NA
736,mississippi
737,tennessee
738,NA
739,florida
740,illinois
741,ohio
742,kansas
743,texas
744,michigan
745,texas
